Frekuensi,Z-M1,Fase,Kategori
100,4579.278,13.969,diabetes
150,4270.941,7.939,diabetes
200,4090.013,3.707,diabetes
250,3980.007,0.907,diabetes
300,3913.816,-1.101,diabetes
350,3856.305,-2.635,diabetes
400,3822.849,-3.663,diabetes
450,3798.215,-4.739,diabetes
500,3771.972,-5.419,diabetes
550,3761.737,-6.083,diabetes
600,3744.507,-6.647,diabetes
650,3738.547,-6.28,diabetes
700,3725.61,-6.344,diabetes
750,3715.501,-6.849,diabetes
800,3707.503,-6.815,diabetes
850,3696.057,-7.099,diabetes
900,3693.288,-7.186,diabetes
950,3691.212,-7.355,diabetes
1000,3680.162,-7.471,diabetes
1500,3655.762,-7.414,diabetes
2000,3635.61,-7.898,diabetes
2500,3625.065,-7.969,diabetes
3000,3625.065,-7.962,diabetes
3500,3622.689,-8.029,diabetes
4000,3616.923,-7.855,diabetes
4500,3613.536,-8.041,diabetes
5000,3610.152,-8.248,diabetes
5500,3609.814,-7.971,diabetes
6000,3610.152,-8.071,diabetes
6500,3610.829,-8.339,diabetes
7000,3603.393,-7.876,diabetes
7500,3612.182,-7.732,diabetes
8000,3607.785,-8.085,diabetes
8500,3607.109,-7.78,diabetes
9000,3609.137,-7.422,diabetes
9500,3608.461,-7.826,diabetes
10000,3605.757,-7.442,diabetes
15000,3609.137,-5.388,diabetes
20000,3598.333,-6.435,diabetes
25000,3591.26,-4.608,diabetes
30000,3584.201,-2.892,diabetes
35000,3565.445,-0.988,diabetes
40000,3564.777,0.996,diabetes
45000,3554.438,3.041,diabetes
50000,3545.458,5.197,diabetes
55000,3533.519,7.375,diabetes
60000,3524.262,9.583,diabetes
65000,3508.776,11.706,diabetes
70000,3493.687,13.873,diabetes
75000,3488.453,16.099,diabetes
80000,3476.381,18.245,diabetes
85000,3463.377,20.402,diabetes
90000,3448.806,22.593,diabetes
95000,3437.515,24.832,diabetes
100000,3427.866,26.97,diabetes
100,4622.384,13.705,diabetes
150,4315.185,7.962,diabetes
200,4139.358,3.721,diabetes
250,4031.801,0.907,diabetes
300,3963.262,-1.093,diabetes
350,3905.391,-2.558,diabetes
400,3867.521,-3.72,diabetes
450,3840.8,-4.716,diabetes
500,3823.924,-5.49,diabetes
550,3806.052,-6.62,diabetes
600,3792.17,-7.356,diabetes
650,3780.817,-6.76,diabetes
700,3768.44,-6.501,diabetes
750,3767.38,-6.618,diabetes
800,3766.322,-6.896,diabetes
850,3750.827,-7.06,diabetes
900,3744.156,-7.143,diabetes
950,3741.701,-7.394,diabetes
1000,3741.351,-7.471,diabetes
1500,3700.562,-7.562,diabetes
2000,3695.711,-7.898,diabetes
2500,3673.961,-7.943,diabetes
3000,3673.617,-8.251,diabetes
3500,3668.458,-7.933,diabetes
4000,3665.709,-8.127,diabetes
4500,3665.365,-7.99,diabetes
5000,3662.962,-7.919,diabetes
5500,3663.306,-8.494,diabetes
6000,3651.997,-8.028,diabetes
6500,3663.649,-8.119,diabetes
7000,3652.339,-7.887,diabetes
7500,3650.97,-7.8,diabetes
8000,3653.366,-7.637,diabetes
8500,3657.475,-7.491,diabetes
9000,3654.393,-7.71,diabetes
9500,3656.105,-7.583,diabetes
10000,3651.997,-7.714,diabetes
15000,3649.944,-4.421,diabetes
20000,3642.77,-6.455,diabetes
25000,3630.504,-4.618,diabetes
30000,3623.368,-2.892,diabetes
35000,3621.671,-0.979,diabetes
40000,3608.461,0.996,diabetes
45000,3606.771,3.074,diabetes
50000,3593.616,5.19,diabetes
55000,3578.832,7.357,diabetes
60000,3571.128,9.574,diabetes
65000,3549.446,11.736,diabetes
70000,3543.133,13.922,diabetes
75000,3536.169,16.13,diabetes
80000,3520.961,18.284,diabetes
85000,3511.736,20.452,diabetes
90000,3498.272,22.614,diabetes
95000,3484.207,24.836,diabetes
100000,3474.102,26.995,diabetes
100,4642.783,13.661,diabetes
150,4350.096,7.881,diabetes
200,4172.846,3.677,diabetes
250,4070.516,0.911,diabetes
300,4003.569,-1.083,diabetes
350,3962.891,-2.557,diabetes
400,3914.182,-3.614,diabetes
450,3907.953,-4.596,diabetes
500,3859.196,-5.312,diabetes
550,3844.04,-5.724,diabetes
600,3841.519,-6.432,diabetes
650,3822.491,-6.326,diabetes
700,3810.333,-6.453,diabetes
750,3799.995,-6.557,diabetes
800,3790.039,-6.849,diabetes
850,3788.619,-7.356,diabetes
900,3790.394,-7.108,diabetes
950,3778.339,-7.318,diabetes
1000,3775.861,-7.428,diabetes
1500,3750.124,-7.73,diabetes
2000,3725.959,-8.265,diabetes
2500,3722.818,-8.465,diabetes
3000,3712.717,-8.39,diabetes
3500,3701.602,-8.549,diabetes
4000,3707.155,-7.669,diabetes
4500,3704.378,-8.128,diabetes
5000,3705.419,-8.109,diabetes
5500,3702.99,-8.29,diabetes
6000,3698.829,-7.991,diabetes
6500,3692.25,-8.028,diabetes
7000,3700.562,-8.142,diabetes
7500,3702.99,-8.238,diabetes
8000,3700.562,-7.988,diabetes
8500,3704.378,-8.153,diabetes
9000,3699.869,-7.39,diabetes
9500,3693.288,-7.649,diabetes
10000,3696.057,-7.77,diabetes
15000,3684.302,-6.67,diabetes
20000,3691.904,-6.047,diabetes
25000,3693.98,-4.582,diabetes
30000,3677.06,-2.851,diabetes
35000,3670.176,-0.986,diabetes
40000,3661.247,0.995,diabetes
45000,3658.161,3.062,diabetes
50000,3647.209,5.195,diabetes
55000,3638.336,7.38,diabetes
60000,3636.632,9.601,diabetes
65000,3606.771,11.762,diabetes
70000,3591.933,13.906,diabetes
75000,3579.503,16.128,diabetes
80000,3563.107,18.323,diabetes
85000,3545.79,20.472,diabetes
90000,3529.879,22.67,diabetes
95000,3517.334,24.859,diabetes
100000,3506.147,27.026,diabetes
100,4547.212,14.074,diabetes
150,4277.749,7.862,diabetes
200,4121.171,3.691,diabetes
250,4030.291,0.893,diabetes
300,3963.634,-1.075,diabetes
350,3929.247,-2.543,diabetes
400,3894.429,-3.632,diabetes
