Frekuensi,Z-M1,Fase,Kategori
100,6428.285,25.047,Sehat
150,5955.699,20.207,Sehat
200,5635.938,16.412,Sehat
250,5429.138,13.501,Sehat
300,5272.731,11.255,Sehat
350,5179.698,9.699,Sehat
400,5070.699,8.452,Sehat
450,5007.904,7.483,Sehat
500,4965.388,6.689,Sehat
550,4931.543,6.064,Sehat
600,4898.847,5.57,Sehat
650,4876.865,5.168,Sehat
700,4855.437,4.761,Sehat
750,4827.766,4.422,Sehat
800,4810.608,4.113,Sehat
850,4787.676,3.858,Sehat
900,4770.214,3.637,Sehat
950,4748.809,3.461,Sehat
1000,4732.819,3.313,Sehat
1500,4656.724,2.388,Sehat
2000,4608.978,1.873,Sehat
2500,4575.418,1.671,Sehat
3000,4549.769,1.469,Sehat
3500,4523.84,1.419,Sehat
4000,4517.487,1.534,Sehat
4500,4516.641,1.342,Sehat
5000,4500.167,1.475,Sehat
5500,4498.059,1.276,Sehat
6000,4490.9,1.405,Sehat
6500,4487.115,1.534,Sehat
7000,4490.9,1.466,Sehat
7500,4484.593,1.481,Sehat
8000,4482.073,1.429,Sehat
8500,4473.263,1.656,Sehat
9000,4482.493,1.556,Sehat
9500,4474.94,1.685,Sehat
10000,4472.006,1.639,Sehat
15000,4451.939,2.431,Sehat
20000,4441.94,3.162,Sehat
25000,4420.766,4.512,Sehat
30000,4402.579,5.874,Sehat
35000,4395.984,7.581,Sehat
40000,4377.079,9.465,Sehat
45000,4360.705,11.483,Sehat
50000,4357.03,13.655,Sehat
55000,4346.429,15.82,Sehat
60000,4340.731,18.038,Sehat
65000,4322.874,20.262,Sehat
70000,4316.803,22.551,Sehat
75000,4307.914,24.755,Sehat
80000,4292.202,27.002,Sehat
85000,4278.55,29.265,Sehat
90000,4258.953,31.504,Sehat
95000,4245.407,33.688,Sehat
100000,4227.15,35.935,Sehat
100,6462.707,25.62,Sehat
150,5951.236,20.104,Sehat
200,5636.995,16.245,Sehat
250,5431.173,13.449,Sehat
300,5272.237,11.26,Sehat
350,5172.909,9.707,Sehat
400,5072.599,8.438,Sehat
450,5010.72,7.514,Sehat
500,4970.043,6.713,Sehat
550,4936.628,6.091,Sehat
600,4902.979,5.583,Sehat
650,4875.494,5.201,Sehat
700,4854.527,4.773,Sehat
750,4827.313,4.47,Sehat
800,4810.157,4.217,Sehat
850,4794.859,3.963,Sehat
900,4773.343,3.695,Sehat
950,4747.92,3.45,Sehat
1000,4729.273,3.443,Sehat
1500,4656.288,2.466,Sehat
2000,4619.353,2.003,Sehat
2500,4577.991,1.775,Sehat
3000,4554.034,1.639,Sehat
3500,4538.274,1.535,Sehat
4000,4526.808,1.457,Sehat
4500,4514.525,1.482,Sehat
5000,4507.763,1.358,Sehat
5500,4495.11,1.583,Sehat
