,Frekuensi,Z-M1,Fase,Kategori
0,6000,4518.334,1.566,Sehat
1,90000,4295.42,31.706,Sehat
2,75000,3163.981,14.136,diabetes
3,400,4043.15,-3.378,diabetes
4,550,3505.162,-7.773,diabetes
5,850,3743.104,-9.475,diabetes
6,600,3456.851,-7.137,diabetes
7,4500,3223.526,-10.748,diabetes
8,200,4439.86,7.489,prediabet
9,350,3624.682,-3.936,diabetes
10,2500,4108.448,-2.356,prediabet
11,35000,4159.575,4.912,prediabet
12,70000,3201.254,11.943,diabetes
13,200,3846.515,2.117,diabetes
14,650,3822.491,-6.326,diabetes
15,80000,3801.775,23.569,prediabet
16,6000,3692.552,-9.423,diabetes
17,25000,3935.879,1.34,prediabet
18,650,4371.341,-0.269,prediabet
19,500,4990.574,6.595,Sehat
20,95000,3742.402,29.99,prediabet
21,700,3855.221,-1.868,prediabet
22,15000,4039.742,-1.148,prediabet
23,60000,3651.997,9.61,diabetes
24,1000,3947.327,-2.995,prediabet
25,8500,3727.311,-9.144,diabetes
26,100,4439.86,12.042,diabetes
27,10000,4498.059,2.026,Sehat
28,3500,3981.126,-3.279,prediabet
29,5500,3609.432,-9.611,diabetes
30,70000,4312.76,22.551,Sehat
31,500,3662.619,-7.351,diabetes
32,800,3798.215,-6.734,diabetes
33,90000,3850.167,28.824,prediabet
34,75000,4330.982,24.982,Sehat
35,80000,3398.446,18.379,diabetes
36,8500,3195.859,-10.811,diabetes
37,850,4814.215,3.752,Sehat
38,65000,3606.771,11.762,diabetes
39,45000,3665.022,7.405,prediabet
40,4000,3394.309,-10.773,diabetes
41,15000,3957.696,-1.252,prediabet
42,5000,4499.745,1.276,Sehat
43,5000,4063.277,-2.537,prediabet
44,45000,3606.771,3.074,diabetes
45,7500,4488.377,1.313,Sehat
46,550,4299.849,0.427,prediabet
47,450,5025.766,7.327,Sehat
48,70000,3519.312,11.968,diabetes
49,60000,3854.137,14.127,prediabet
50,7000,4140.522,-2.693,prediabet
51,950,4789.022,3.468,Sehat
52,85000,3630.844,20.549,diabetes
53,7000,3714.76,-9.244,diabetes
54,550,4006.947,-0.385,prediabet
55,6000,4196.37,-2.511,prediabet
56,30000,3691.558,1.603,prediabet
57,450,4177.541,0.249,prediabet
58,7500,4092.313,-2.419,prediabet
59,50000,4385.699,13.768,Sehat
60,100,4298.641,12.32,diabetes
61,85000,3866.072,26.585,prediabet
62,40000,3760.68,0.996,diabetes
63,75000,3799.639,20.655,prediabet
64,25000,3919.32,0.061,prediabet
65,10000,3490.372,-9.061,diabetes
66,1500,3630.12,-9.104,diabetes
67,350,3630.844,-4.847,diabetes
68,90000,3311.692,20.404,diabetes
69,950,3768.747,-8.532,diabetes
70,8500,4003.194,-3.294,prediabet
71,750,3800.351,-6.882,diabetes
72,15000,3453.98,-6.487,diabetes
73,50000,3668.114,9.503,prediabet
74,7000,3126.556,-8.778,diabetes
75,35000,3135.944,-3.143,diabetes
76,15000,3070.815,-9.103,diabetes
77,4500,3423.052,-10.461,diabetes
78,1500,4037.093,-2.029,prediabet
79,300,3645.16,-3.397,diabetes
80,250,4070.516,0.911,diabetes
81,750,3396.218,-8.93,diabetes
82,95000,3797.859,29.383,prediabet
83,650,3514.986,-7.442,diabetes
84,950,4790.817,3.399,Sehat
85,4500,3704.378,-8.128,diabetes
86,800,4832.744,4.016,Sehat
87,100000,4045.423,32.985,prediabet
88,800,3397.809,-9.203,diabetes
89,55000,3225.943,5.261,diabetes
90,800,3707.503,-6.815,diabetes
91,600,4902.979,5.583,Sehat
92,750,4116.154,-0.922,prediabet
93,800,3801.063,-6.83,diabetes
94,35000,3133.301,-3.176,diabetes
95,200,4425.324,7.921,prediabet
96,550,4944.961,6.064,Sehat
97,5000,3249.909,-10.914,diabetes
98,500,4023.499,-0.243,prediabet
99,4500,3840.44,-8.888,diabetes
100,25000,4007.322,1.336,prediabet
101,10000,3400.635,-8.926,diabetes
102,40000,3867.521,5.532,prediabet
103,75000,3536.169,16.13,diabetes
104,7500,3989.341,-3.325,prediabet
105,90000,3386.327,21.614,diabetes
106,500,4065.181,-0.334,prediabet
107,350,4061.374,-2.421,diabetes
108,400,4215.68,1.135,prediabet
109,55000,3549.403,6.461,diabetes
110,6000,4132.771,-2.377,prediabet
111,15000,3185.994,-9.468,diabetes
112,800,3767.335,-8.035,diabetes
113,600,3750.827,-8.381,diabetes
114,900,3784.007,-7.145,diabetes
115,2000,4125.807,-2.352,prediabet
116,100000,3362.93,25.917,diabetes
117,850,3385.733,-9.292,diabetes
118,350,5198.172,9.364,Sehat
119,7500,4139.358,-2.675,prediabet
120,20000,3922.994,-1.353,prediabet
121,2500,4575.418,1.671,Sehat
122,40000,3596.941,0.135,diabetes
123,45000,3814.977,7.539,prediabet
124,40000,4123.488,6.894,prediabet
125,6500,3398.405,-9.456,diabetes
126,50000,3763.5,5.229,diabetes
127,650,4006.947,-1.539,prediabet
128,100,4920.928,19.934,prediabet
129,750,3949.547,-6.781,diabetes
130,35000,3312.272,-1.853,diabetes
131,300,4077.005,-1.066,diabetes
132,15000,4491.742,2.686,Sehat
133,65000,3825.357,16.293,prediabet
134,550,4931.081,6.042,Sehat
135,3500,3622.689,-8.029,diabetes
136,8000,3968.464,-2.271,prediabet
137,6500,3724.563,-7.538,diabetes
138,8000,4235.078,-2.471,prediabet
139,4500,3363.286,-10.608,diabetes
140,8000,3582.144,-9.276,diabetes
141,6500,3650.286,-10.656,diabetes
142,750,3715.501,-6.849,diabetes
143,80000,3698.482,22.697,prediabet
144,5500,3627.444,-10.543,diabetes
145,5000,3233.205,-10.907,diabetes
146,75000,3450.057,15.248,diabetes
147,100000,3321.596,26.128,diabetes
148,9500,3514.04,-9.319,diabetes
149,75000,3337.817,15.349,diabetes
150,6000,3981.872,-3.469,prediabet
151,30000,3626.38,-3.814,diabetes
152,35000,3451.35,-2.019,diabetes
153,350,3656.79,-2.46,diabetes
154,30000,3507.42,-3.826,diabetes
155,1500,3753.991,-6.978,diabetes
156,75000,3763.147,20.588,prediabet
157,80000,3604.701,17.36,diabetes
158,5500,3890.417,-3.793,prediabet
159,6500,3729.801,-5.234,prediabet
160,85000,3399.678,19.657,diabetes
161,1000,4062.515,-2.423,prediabet
162,850,3987.472,-2.873,prediabet
163,300,3913.816,-1.101,diabetes
164,900,3985.231,-3.027,prediabet
165,4000,4548.49,1.518,Sehat
166,5000,4500.167,1.475,Sehat
167,150,5955.699,20.207,Sehat
168,10000,4081.591,-2.003,prediabet
