,Frekuensi,Z-M1,Fase,Kategori
0,55000,3734.347,11.778,prediabet
1,100000,3063.918,25.054,diabetes
2,1000,3753.242,-8.487,diabetes
3,9500,3626.424,-10.29,diabetes
4,7500,3813.905,-4.401,prediabet
5,600,4215.285,-0.056,prediabet
6,95000,3312.583,24.002,diabetes
7,200,4121.171,3.691,diabetes
8,90000,3350.391,22.764,diabetes
9,6000,3670.82,-9.616,diabetes
10,800,4816.471,4.126,Sehat
11,950,3666.695,-8.453,diabetes
12,900,3682.922,-9.463,diabetes
13,500,3860.958,-5.405,diabetes
14,550,4140.91,0.295,prediabet
15,600,3818.865,-7.019,diabetes
16,2000,4052.251,-2.352,prediabet
17,100000,3799.995,31.74,prediabet
18,10000,3977.398,-1.914,prediabet
19,150,4032.557,5.026,diabetes
20,1500,4696.597,2.347,Sehat
21,90000,3802.844,28.849,prediabet
22,2500,3836.124,-8.22,diabetes
23,40000,3494.954,0.117,diabetes
24,4000,3665.709,-8.127,diabetes
25,550,3981.126,-5.337,diabetes
26,850,3667.383,-8.136,diabetes
27,70000,3447.795,13.009,diabetes
28,350,4125.42,2.134,prediabet
29,200,3959.132,2.612,diabetes
30,300,3628.124,-3.34,diabetes
31,200,5644.394,15.972,Sehat
32,10000,3568.743,-8.986,diabetes
33,85000,3788.264,26.63,prediabet
34,650,4893.342,4.958,Sehat
35,150,4606.819,13.126,prediabet
36,20000,4425.324,3.24,Sehat
37,5000,4153.344,-2.752,prediabet
38,350,3732.903,-3.601,diabetes
39,900,4050.354,-1.326,prediabet
40,500,4990.106,6.601,Sehat
41,4000,4043.529,-2.721,prediabet
42,1000,3807.433,-8.437,diabetes
43,450,5043.218,7.268,Sehat
44,85000,3545.79,20.472,diabetes
45,6000,4490.9,1.405,Sehat
46,850,4054.91,-1.232,prediabet
47,9000,4002.444,-3.112,prediabet
48,3000,3674.305,-10.601,diabetes
49,60000,4002.819,15.538,prediabet
50,80000,4321.659,27.225,Sehat
51,2500,3702.296,-10.456,diabetes
52,65000,3513.382,9.757,diabetes
53,100000,3563.064,25.985,diabetes
54,8500,4137.032,-2.514,prediabet
55,5000,3714.412,-9.532,diabetes
56,500,4993.848,6.514,Sehat
57,80000,4323.279,27.26,Sehat
58,650,4887.385,4.872,Sehat
59,70000,3037.337,11.748,diabetes
60,5000,3632.545,-10.774,diabetes
61,400,3788.974,-6.0,diabetes
62,35000,3421.769,-0.982,diabetes
63,2500,3556.394,-9.425,diabetes
64,500,3813.548,-4.832,diabetes
65,9500,3694.326,-8.227,diabetes
66,650,3913.082,-6.152,diabetes
